team_name,season,wins,losses,sos,points_for,points_against,AP_preseason,fg_pct,3pt_pct,ft_pct,opp_fg_pct,opp_3pt_pct,opp_ft_pct,O_reb,D_reb,opp_O_reb,opp_D_reb,turnover,opp_turnover,ppg,opp_ppg,OUTCOME
Duke,2011-12,27,7,8.40,77.3,68.6,6,23,48,25,39,66,15,32,9,338,296,201,16,9,81,Lost Second Round
Duke,2010-11,32,5,8.32,80.9,64.7,1,136,27,8,39,2,169,2,7,332,322,179,12,28,28,Lost Regional Semifinal
Eastern Kentucky,2013-14,24,10,-4.34,78.7,70.9,None,32,99,2,288,62,334,264,309,268,211,126,5,36,153,Lost Second Round
Eastern Washington,2014-15,26,9,-3.84,80.6,73.9,None,115,69,193,222,186,204,236,123,112,157,93,323,50,299,Lost Second Round
Fairleigh Dickinson,2015-16,18,15,-8.31,77.5,78.8,None,284,227,171,314,212,169,269,350,268,207,64,54,174,324,Lost First Four
Florida,2013-14,36,3,8.54,69.9,57.8,10,14,28,226,9,46,11,99,31,188,181,126,32,76,3,Lost National Semifinal
Florida,2012-13,29,8,6.83,71.4,54.4,10,54,32,96,131,174,184,58,23,276,304,99,117,28,107,Lost Regional Final
Florida,2011-12,26,11,7.33,75.9,65.0,8,39,128,241,109,22,72,16,14,259,253,217,112,79,53,Lost Regional Final
Florida,2010-11,29,8,7.57,72.1,63.4,9,122,281,124,172,92,129,33,97,252,224,124,125,100,124,Lost Regional Final
Florida Gulf Coast,2015-16,21,14,-3.82,77.2,70.7,None,194,200,276,32,5,72,64,62,289,220,107,270,176,85,Lost First Round
Florida Gulf Coast,2012-13,26,11,-2.07,72.9,66.7,None,82,50,242,178,268,23,158,160,316,91,273,132,76,288,Lost Regional Semifinal
Florida State,2011-12,25,10,7.62,69.8,62.9,None,178,214,253,1,15,183,55,19,286,209,336,38,160,32,Lost Third Round
Florida State,2010-11,23,11,6.45,69.1,62.0,None,80,209,306,1,104,92,91,102,233,24,327,49,192,19,Lost Regional Semifinal
Fresno State,2015-16,25,10,2.24,75.1,70.7,None,211,274,183,188,203,178,294,236,154,225,35,133,231,161,Lost First Round
George Mason,2010-11,27,7,1.37,72.8,62.5,None,154,171,312,147,166,158,179,175,262,158,171,225,218,162,Lost Third Round
George Washington,2013-14,24,9,4.42,73.2,67.0,None,123,339,283,137,277,187,84,227,87,20,283,169,205,144,Lost Second Round
Georgetown,2014-15,22,11,9.81,70.9,65.2,None,83,233,99,94,121,164,220,196,206,66,137,190,179,124,Lost Third Round
Georgetown,2012-13,25,7,7.59,64.7,56.4,None,48,149,148,13,1,108,153,76,190,24,119,193,141,16,Lost Second Round
Georgetown,2011-12,24,9,7.69,69.0,59.4,None,14,125,51,90,149,252,259,169,197,9,169,310,119,121,Lost Third Round
Georgetown,2010-11,21,11,10.39,70.6,66.3,20,4,25,104,96,140,311,243,107,221,37,260,171,73,110,Lost Second Round
Georgia,2014-15,21,12,8.60,68.2,64.4,None,185,155,235,34,56,217,78,62,220,115,287,281,232,84,Lost Second Round
Georgia,2010-11,21,12,6.13,68.7,64.4,None,64,73,81,173,141,339,133,200,151,6,253,308,184,199,Lost Second Round
Georgia State,2014-15,25,10,-2.03,71.4,62.4,None,50,59,3,101,160,76,313,144,324,294,2,73,35,135,Lost Third Round
Gonzaga,2015-16,28,8,4.23,78.9,65.6,9,1,8,181,22,115,47,81,1,320,168,155,130,10,53,Lost Regional Semifinal
Gonzaga,2014-15,35,3,5.12,78.7,61.7,13,5,10,143,22,51,246,202,13,295,209,228,127,44,67,Lost Regional Final
Gonzaga,2013-14,29,7,5.36,76.7,65.9,15,3,49,135,12,133,91,73,32,233,35,79,82,13,31,Lost Third Round
Gonzaga,2012-13,32,3,4.18,77.0,59.9,21,29,34,90,75,42,78,173,54,115,48,166,185,43,76,Lost Third Round
Gonzaga,2011-12,26,7,3.25,73.8,63.2,23,9,57,13,33,292,230,93,15,190,121,262,58,23,111,Lost Third Round
Gonzaga,2010-11,25,10,4.01,76.7,65.9,12,6,121,257,56,111,22,195,15,215,182,192,182,30,156,Lost Third Round
Green Bay,2015-16,23,13,-0.67,83.7,80.0,None,64,339,329,70,102,53,122,112,167,168,122,74,150,40,Lost First Round
Hampton,2015-16,21,11,-8.45,73.8,74.1,None,297,316,307,96,161,133,48,40,301,342,345,30,188,225,Lost First Round
Hampton,2014-15,17,18,-7.08,67.0,68.2,None,290,291,308,22,237,24,94,172,319,245,303,24,107,181,Lost Second Round
Hampton,2010-11,24,9,-8.77,66.6,62.7,None,220,320,214,74,34,4,172,194,302,128,301,45,251,59,Lost Second Round
Harvard,2014-15,22,8,-0.25,64.2,57.6,25,57,36,86,51,67,242,226,212,75,30,74,61,99,14,Lost Second Round
Harvard,2013-14,27,5,-0.47,73.2,61.0,None,16,7,78,235,140,321,344,305,49,7,91,220,149,110,Lost Third Round
Harvard,2012-13,20,10,0.16,68.3,64.1,None,45,104,25,59,155,32,315,183,15,4,40,267,224,4,Lost Third Round
Harvard,2011-12,26,5,-1.56,65.6,55.6,None,16,37,2,180,289,335,322,265,49,2,80,275,97,71,Lost Second Round
Hawaii,2015-16,28,6,-1.04,77.1,66.7,None,154,269,198,94,171,324,44,108,328,325,317,4,48,225,Lost Second Round
Holy Cross,2015-16,15,20,-6.11,64.8,69.9,None,247,193,96,332,310,304,262,342,12,94,14,150,210,195,Lost First Round
Illinois,2012-13,23,13,10.08,68.5,64.8,None,136,313,93,163,322,240,253,206,43,82,153,191,225,93,Lost Third Round
Illinois,2010-11,20,14,11.11,71.0,65.4,13,85,182,100,33,74,213,109,12,273,313,188,195,124,141,Lost Third Round
Indiana,2015-16,27,8,6.90,82.6,69.9,15,47,6,83,297,83,102,59,99,260,149,129,276,18,299,Lost Regional Semifinal
Indiana,2014-15,20,14,7.20,77.4,71.7,None,141,177,65,65,12,272,91,69,112,18,336,199,129,106,Lost Second Round
Indiana,2012-13,29,7,8.38,78.6,62.1,1,5,2,11,142,205,232,116,54,276,79,245,92,18,159,Lost Regional Semifinal
Indiana,2011-12,27,9,7.80,77.3,66.4,None,53,165,68,183,283,232,231,254,66,75,126,227,149,184,Lost Regional Semifinal
Indiana State,2010-11,20,14,2.90,66.3,64.5,None,237,132,2,85,144,69,312,132,233,195,67,312,246,120,Lost Second Round
Iona,2015-16,22,11,-1.78,79.6,74.3,None,50,13,140,144,245,209,168,26,348,332,243,165,5,320,Lost First Round
Iona,2012-13,20,14,-0.02,80.4,76.3,None,3,22,95,264,232,202,182,112,241,172,109,40,1,301,Lost Second Round
Iona,2011-12,25,8,-1.82,82.9,72.7,None,13,44,280,234,253,139,38,21,237,331,251,19,14,223,Lost First Round
Iowa,2015-16,22,11,8.71,77.6,69.3,None,198,213,24,39,91,187,39,63,250,193,81,158,109,63,Lost Second Round
